Item,Qtty,Price/unit (?),Total item,Source,Extra,Total
Orange Pi Zero 2W,1,25.39,,https://es.aliexpress.com/item/1005006188766949.html,"Bundle 3, 1GB RAM",
,,,,,,
belt,,,,,,
BIGTREETECH SKR PICO,1,22,,https://es.aliexpress.com/item/1005009051136182.html,,
Bed Spring Leveling kit,1,5.09,,https://es.aliexpress.com/item/1005003097384079.html,Black(M3) 1Set,
Bed support Y axis,1,10.39,,https://es.aliexpress.com/item/1005005526138056.html,,
12V 80W heatbed 150x150,1,8.99,,https://es.aliexpress.com/item/1005001417127602.html?,,
Magnetic Sticker,1,5.09,,https://es.aliexpress.com/item/1005007297499038.html,,
BIGTREETECH EDDY,1,22.99,,https://es.aliexpress.com/item/1005007805715141.html,,
Nema 17 stepper,3,,,,,
2020 extrusion,,,,,,
2020 extrusion,,,,,,
2020 extrusion,,,,,,
2020 extrusion,,,,,,
2020 extrusion,,,,,,
MGN12c extrusion,1,10.21,,https://es.aliexpress.com/item/1005009577277063.html,200mm,
MGN9C extrusion,,,,,,
Linear bearing,,,,,,
Pulley 20T W6 B5 1,,,,,,
Idler 20T W6 B3 1,,,,,,
Idler 16T W6 B3 1,,,,,,
Idler 20T W6 B5 1,,,,,,
3mm Pin,,,,,30mm,
5mm Pin,,,,,,
